,Final Pb206/U238_mean,Final Pb206/U238_prop2SE,Final Pb206/U238 age_mean,Final Pb206/U238 age_prop2SE,Final Pb207/U235_mean,Final Pb207/U235_prop2SE,Final Pb207/U235 age_mean,Final Pb207/U235 age_prop2SE,Final Pb207/Pb206_mean,Final Pb207/Pb206_prop2SE,Final Pb207/Pb206 age_mean,Final Pb207/Pb206 age_prop2SE,Final U238/Pb206_mean,Final U238/Pb206_prop2SE,rho 207Pb/206Pb v 238U/206Pb,rho 206Pb/238U v 207Pb/235U,
GQ6_2_matrix
NIST 610 - 16,0.20799,0.010984,1217.87,58.553,25.8921,1.56458,3342.58,60.8944,0.901418,0.00719087,4974.94,21.2084,4.86684,0.262678,0.475317,0.592513,
NIST 610 - 20,0.17853,0.00955232,1058.75,52.1292,22.2161,1.36505,3192.24,59.3451,0.90961,0.00691059,4982.39,10.9924,5.56286,0.299274,0.476674,0.642419,
NIST 610 - 13,0.185157,0.00977514,1094.89,53.0914,23.1726,1.39674,3233.13,58.3835,0.907928,0.00727445,4966.17,30.5226,5.442,0.284551,0.387899,0.546097,
NIST 610 - 12,0.188589,0.010039,1113.45,54.3393,23.2602,1.42433,3236.76,59.0382,0.90632,0.00740036,4975.34,20.4775,5.25059,0.273739,0.422534,0.721572,
NIST 610 - 11,0.205381,0.00989943,1203.96,52.8868,25.8327,1.45317,3339.05,54.6541,0.911729,0.00689283,4981.67,22.1119,4.85812,0.234149,0.222709,0.64195,
NIST 610 - 10,0.169915,0.00904361,1011.53,49.7582,21.2602,1.30074,3149.68,59.0758,0.904038,0.00717497,4980.01,13.307,5.86572,0.306908,0.351035,0.546635,
NIST 610 - 9,0.187722,0.0094272,1108.86,51.0902,23.3182,1.36776,3239.66,56.9386,0.908829,0.00697503,4983.41,15.9635,5.39578,0.269491,0.461425,0.553573,
NIST 610 - 14,0.193457,0.0102574,1139.88,55.2809,24.2472,1.41458,3277.36,56.6737,0.907742,0.00720815,4972.8,16.6123,5.19044,0.270257,0.322851,0.610186,
NIST 610 - 7,0.169803,0.00915968,1010.85,50.4487,21.0406,1.3256,3139.36,61.1337,0.911586,0.00711516,4976.68,25.2181,5.83208,0.31164,0.400228,0.65639,
NIST 610 - 8,0.188856,0.00940916,1115.03,50.9892,23.4534,1.32297,3246.02,56.5483,0.906341,0.00725764,4983.6,14.7504,5.30499,0.265205,0.512554,0.429259,
